Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,031052,1965,12,02,,,
IDCJAC0011,031052,1965,12,03,,,
IDCJAC0011,031052,1965,12,04,,,
IDCJAC0011,031052,1965,12,05,,,
IDCJAC0011,031052,1965,12,06,,,
IDCJAC0011,031052,1965,12,07,,,
IDCJAC0011,031052,1965,12,08,,,
IDCJAC0011,031052,1965,12,09,,,
IDCJAC0011,031052,1965,12,10,,,
IDCJAC0011,031052,1965,12,11,,,
IDCJAC0011,031052,1965,12,12,,,
IDCJAC0011,031052,1965,12,13,,,
IDCJAC0011,031052,1965,12,14,,,
IDCJAC0011,031052,1965,12,15,,,
IDCJAC0011,031052,1965,12,16,,,
IDCJAC0011,031052,1965,12,17,,,
IDCJAC0011,031052,1965,12,18,,,
IDCJAC0011,031052,1965,12,19,,,
IDCJAC0011,031052,1965,12,20,,,
IDCJAC0011,031052,1965,12,21,,,
IDCJAC0011,031052,1965,12,22,,,
IDCJAC0011,031052,1965,12,23,,,
IDCJAC0011,031052,1965,12,24,,,
IDCJAC0011,031052,1965,12,25,,,
IDCJAC0011,031052,1965,12,26,,,
IDCJAC0011,031052,1965,12,27,,,
IDCJAC0011,031052,1965,12,28,,,
IDCJAC0011,031052,1965,12,29,,,
IDCJAC0011,031052,1965,12,30,,,
IDCJAC0011,031052,1965,12,31,,,
IDCJAC0011,031052,1966,01,01,,,
IDCJAC0011,031052,1966,01,02,,,
IDCJAC0011,031052,1966,01,03,,,
IDCJAC0011,031052,1966,01,04,,,
IDCJAC0011,031052,1966,01,05,,,
IDCJAC0011,031052,1966,01,06,,,
IDCJAC0011,031052,1966,01,07,,,
IDCJAC0011,031052,1966,01,08,,,
IDCJAC0011,031052,1966,01,09,,,
IDCJAC0011,031052,1966,01,10,,,
IDCJAC0011,031052,1966,01,11,,,
IDCJAC0011,031052,1966,01,12,,,
IDCJAC0011,031052,1966,01,13,,,
IDCJAC0011,031052,1966,01,14,,,
IDCJAC0011,031052,1966,01,15,,,
IDCJAC0011,031052,1966,01,16,,,
IDCJAC0011,031052,1966,01,17,,,
IDCJAC0011,031052,1966,01,18,,,
IDCJAC0011,031052,1966,01,19,,,
IDCJAC0011,031052,1966,01,20,,,
IDCJAC0011,031052,1966,01,21,,,
IDCJAC0011,031052,1966,01,22,,,
IDCJAC0011,031052,1966,01,23,,,
IDCJAC0011,031052,1966,01,24,,,
IDCJAC0011,031052,1966,01,25,,,
IDCJAC0011,031052,1966,01,26,,,
IDCJAC0011,031052,1966,01,27,,,
IDCJAC0011,031052,1966,01,28,,,
IDCJAC0011,031052,1966,01,29,,,
IDCJAC0011,031052,1966,01,30,,,
IDCJAC0011,031052,1966,01,31,,,
IDCJAC0011,031052,1966,02,01,22.2,1,N
IDCJAC0011,031052,1966,02,02,23.9,1,Y
IDCJAC0011,031052,1966,02,03,22.8,1,Y
IDCJAC0011,031052,1966,02,04,22.2,1,Y
IDCJAC0011,031052,1966,02,05,23.9,1,Y
IDCJAC0011,031052,1966,02,06,23.3,1,Y
IDCJAC0011,031052,1966,02,07,22.8,1,Y
IDCJAC0011,031052,1966,02,08,22.8,1,Y
IDCJAC0011,031052,1966,02,09,23.3,1,Y
IDCJAC0011,031052,1966,02,10,23.9,1,Y
IDCJAC0011,031052,1966,02,11,22.8,1,Y
IDCJAC0011,031052,1966,02,12,23.3,1,Y
IDCJAC0011,031052,1966,02,13,23.9,1,Y
IDCJAC0011,031052,1966,02,14,23.9,1,Y
IDCJAC0011,031052,1966,02,15,24.4,1,Y
IDCJAC0011,031052,1966,02,16,22.8,1,Y
IDCJAC0011,031052,1966,02,17,21.7,1,Y
IDCJAC0011,031052,1966,02,18,23.9,1,Y
IDCJAC0011,031052,1966,02,19,26.7,1,Y
IDCJAC0011,031052,1966,02,20,23.9,1,Y
IDCJAC0011,031052,1966,02,21,22.2,1,Y
IDCJAC0011,031052,1966,02,22,22.8,1,Y
IDCJAC0011,031052,1966,02,23,21.7,1,Y
IDCJAC0011,031052,1966,02,24,23.3,1,Y
IDCJAC0011,031052,1966,02,25,23.3,1,Y
IDCJAC0011,031052,1966,02,26,23.9,1,Y
IDCJAC0011,031052,1966,02,27,22.8,1,Y
IDCJAC0011,031052,1966,02,28,24.4,1,Y
IDCJAC0011,031052,1966,03,01,21.1,1,Y
IDCJAC0011,031052,1966,03,02,22.2,1,Y
IDCJAC0011,031052,1966,03,03,22.8,1,Y
IDCJAC0011,031052,1966,03,04,22.8,1,Y
IDCJAC0011,031052,1966,03,05,23.3,1,Y
IDCJAC0011,031052,1966,03,06,23.3,1,Y
IDCJAC0011,031052,1966,03,07,21.7,1,Y
IDCJAC0011,031052,1966,03,08,22.8,1,Y
IDCJAC0011,031052,1966,03,09,22.2,1,Y
IDCJAC0011,031052,1966,03,10,21.7,1,Y
IDCJAC0011,031052,1966,03,11,21.7,1,Y
IDCJAC0011,031052,1966,03,12,21.1,1,Y
IDCJAC0011,031052,1966,03,13,20.6,1,Y
IDCJAC0011,031052,1966,03,14,21.1,1,Y
IDCJAC0011,031052,1966,03,15,22.8,1,Y
IDCJAC0011,031052,1966,03,16,22.8,1,Y
IDCJAC0011,031052,1966,03,17,21.1,1,Y
IDCJAC0011,031052,1966,03,18,22.8,1,Y
IDCJAC0011,031052,1966,03,19,22.8,1,Y
IDCJAC0011,031052,1966,03,20,22.8,1,Y
IDCJAC0011,031052,1966,03,21,22.8,1,Y
IDCJAC0011,031052,1966,03,22,22.2,1,Y
IDCJAC0011,031052,1966,03,23,23.9,1,Y
IDCJAC0011,031052,1966,03,24,22.8,1,Y
IDCJAC0011,031052,1966,03,25,22.2,1,Y
IDCJAC0011,031052,1966,03,26,21.7,1,Y
IDCJAC0011,031052,1966,03,27,20.6,1,Y
IDCJAC0011,031052,1966,03,28,18.3,1,Y
IDCJAC0011,031052,1966,03,29,20.6,1,Y
IDCJAC0011,031052,1966,03,30,20.0,1,Y
IDCJAC0011,031052,1966,03,31,20.6,1,Y
IDCJAC0011,031052,1966,04,01,20.6,1,Y
IDCJAC0011,031052,1966,04,02,21.1,1,Y
IDCJAC0011,031052,1966,04,03,18.9,1,Y
IDCJAC0011,031052,1966,04,04,20.6,1,Y
IDCJAC0011,031052,1966,04,05,20.6,1,Y
IDCJAC0011,031052,1966,04,06,20.6,1,Y
IDCJAC0011,031052,1966,04,07,18.9,1,Y
IDCJAC0011,031052,1966,04,08,19.4,1,Y
IDCJAC0011,031052,1966,04,09,20.0,1,Y
IDCJAC0011,031052,1966,04,10,22.2,1,Y
IDCJAC0011,031052,1966,04,11,23.9,1,Y
IDCJAC0011,031052,1966,04,12,21.7,1,Y
IDCJAC0011,031052,1966,04,13,21.1,1,Y
IDCJAC0011,031052,1966,04,14,20.6,1,Y
IDCJAC0011,031052,1966,04,15,21.1,1,Y
IDCJAC0011,031052,1966,04,16,20.6,1,Y
IDCJAC0011,031052,1966,04,17,20.6,1,Y
IDCJAC0011,031052,1966,04,18,20.6,1,Y
IDCJAC0011,031052,1966,04,19,21.1,1,Y
IDCJAC0011,031052,1966,04,20,21.7,1,Y
IDCJAC0011,031052,1966,04,21,20.0,1,Y
IDCJAC0011,031052,1966,04,22,21.1,1,Y
IDCJAC0011,031052,1966,04,23,20.6,1,Y
IDCJAC0011,031052,1966,04,24,20.0,1,Y
IDCJAC0011,031052,1966,04,25,17.8,1,Y
IDCJAC0011,031052,1966,04,26,20.6,1,Y
IDCJAC0011,031052,1966,04,27,19.4,1,Y
IDCJAC0011,031052,1966,04,28,19.4,1,Y
IDCJAC0011,031052,1966,04,29,18.3,1,Y
IDCJAC0011,031052,1966,04,30,18.3,1,Y
IDCJAC0011,031052,1966,05,01,20.6,1,Y
IDCJAC0011,031052,1966,05,02,18.3,1,Y
IDCJAC0011,031052,1966,05,03,20.0,1,Y
IDCJAC0011,031052,1966,05,04,20.6,1,Y
IDCJAC0011,031052,1966,05,05,21.7,1,Y
IDCJAC0011,031052,1966,05,06,22.8,1,Y
IDCJAC0011,031052,1966,05,07,21.7,1,Y
IDCJAC0011,031052,1966,05,08,21.1,1,Y
IDCJAC0011,031052,1966,05,09,20.6,1,Y
IDCJAC0011,031052,1966,05,10,19.4,1,Y
IDCJAC0011,031052,1966,05,11,19.4,1,Y
IDCJAC0011,031052,1966,05,12,18.9,1,Y
IDCJAC0011,031052,1966,05,13,18.3,1,Y
IDCJAC0011,031052,1966,05,14,16.7,1,Y
IDCJAC0011,031052,1966,05,15,18.9,1,Y
IDCJAC0011,031052,1966,05,16,18.9,1,Y
IDCJAC0011,031052,1966,05,17,20.0,1,Y
IDCJAC0011,031052,1966,05,18,20.0,1,Y
IDCJAC0011,031052,1966,05,19,18.9,1,Y
IDCJAC0011,031052,1966,05,20,18.3,1,Y
IDCJAC0011,031052,1966,05,21,16.1,1,Y
IDCJAC0011,031052,1966,05,22,15.0,1,Y
IDCJAC0011,031052,1966,05,23,14.4,1,Y
IDCJAC0011,031052,1966,05,24,15.6,1,Y
IDCJAC0011,031052,1966,05,25,20.0,1,Y
IDCJAC0011,031052,1966,05,26,19.4,1,Y
IDCJAC0011,031052,1966,05,27,20.0,1,Y
IDCJAC0011,031052,1966,05,28,20.0,1,Y
IDCJAC0011,031052,1966,05,29,18.9,1,Y
IDCJAC0011,031052,1966,05,30,20.6,1,Y
IDCJAC0011,031052,1966,05,31,21.1,1,Y
IDCJAC0011,031052,1966,06,01,20.6,1,Y
IDCJAC0011,031052,1966,06,02,20.6,1,Y
